R_PPI AIMed_d30 0 *EMPTY*-*EMPTY* token:Isolation|NN|O|-3|-9|root|0 token:of|IN|O|-2|-8|case|3 token:human|JJ|O|-1|-7|amod|3 token:delta-catenin|NN|P1|0|-6|nmod:of|0 token:and|CC|O|1|-5|cc|0 token:its|PRP$|O|2|-4|nmod:poss|7 token:binding|NN|O|3|-3|compound|7 token:specificity|NN|O|4|-2|conj:and|0 token:with|IN|O|5|-1|case|9 token:presenilin|NN|P2|6|0|nmod:with|7 token:1|CD|P2|7|0|nummod|9 token:.|.|O|8|1|| dep_token:delta-catenin|NN|P1|nmod:of|0 dep_token:Isolation|NN|O|root|0 dep_token:specificity|NN|O|conj:and|0 dep_token:presenilin|NN|P2|nmod:with|7 dep_path_len:3 lex_dep_path:GENE_1|<-nmod:of<-w:isol->conj:and->nmod:with->|GENE_2 lex_dep_path:GENE_1|<-nmod:of<-__->conj:and->w:specif->nmod:with->|GENE_2	Isolation of human <1>delta-catenin</1> and its binding specificity with <1>presenilin 1</1>.
R_PPI AIMed_d195 0 *EMPTY*-*EMPTY* token:Competitive|JJ|O|-3|-8|amod|1 token:binding|NN|O|-2|-7|root|1 token:of|IN|O|-1|-6|case|3 token:alpha-actinin|NN|P1|0|-5|nmod:of|1 token:and|CC|O|1|-4|cc|3 token:calmodulin|NN|P|2|-3|conj:and@nmod:of|1@3 token:to|TO|O|3|-2|case|9 token:the|DT|O|4|-1|det|9 token:NMDA|JJ|P2|5|0|amod|9 token:receptor|NN|P2|6|0|nmod:to|1 token:.|.|O|7|1|| dep_token:alpha-actinin|NN|P1|nmod:of|1 dep_token:binding|NN|O|root|1 dep_token:receptor|NN|P2|nmod:to|1 dep_path_len:2 lex_dep_path:GENE_1|<-nmod:of<-w:bind->nmod:to->|GENE_2	Competitive binding of <1>alpha-actinin</1> and <0>calmodulin</0> to the <1>NMDA receptor</1>.
R_PPI AIMed_d195 0 *EMPTY*-*EMPTY* token:Competitive|JJ|O|-5|-8|amod|1 token:binding|NN|O|-4|-7|root|1 token:of|IN|O|-3|-6|case|3 token:alpha-actinin|NN|P|-2|-5|nmod:of|1 token:and|CC|O|-1|-4|cc|3 token:calmodulin|NN|P1|0|-3|conj:and@nmod:of|1@3 token:to|TO|O|1|-2|case|9 token:the|DT|O|2|-1|det|9 token:NMDA|JJ|P2|3|0|amod|9 token:receptor|NN|P2|4|0|nmod:to|1 token:.|.|O|5|1|| dep_token:calmodulin|NN|P1|conj:and@nmod:of|1@3 dep_token:binding|NN|O|root|1 dep_token:receptor|NN|P2|nmod:to|1 dep_path_len:2 lex_dep_path:GENE_1|<-nmod:of<-w:bind->nmod:to->|GENE_2	Competitive binding of <0>alpha-actinin</0> and <1>calmodulin</1> to the <1>NMDA receptor</1>.
NONE AIMed_d195 3 *EMPTY*-*EMPTY* token:alpha-Actinin-2|NN|P1|0|-6|nsubjpass|13 token:,|,|O|1|-5|| token:a|DT|O|2|-4|det|3 token:member|NN|O|3|-3|appos|0 token:of|IN|O|4|-2|case|7 token:the|DT|O|5|-1|det|7 token:spectrin/dystrophin|NN|P2|6|0|compound|7 token:family|NN|O|7|1|nmod:of|3 token:of|IN|O|8|2|case|10 token:actin-binding|JJ|P|9|3|amod|10 token:proteins|NNS|O|10|4|nmod:of|7 token:,|,|O|11|5|| token:is|VBZ|O|12|6|auxpass|13 token:identified|VBN|O|13|7|root|13 token:here|RB|O|14|8|advmod|13 token:as|IN|O|15|9|case|20 token:a|DT|O|16|10|det|20 token:brain|NN|O|17|11|compound|20 token:postsynaptic|JJ|O|18|12|amod|20 token:density|NN|O|19|13|compound|20 token:protein|NN|O|20|14|nmod:as@nsubj|13@22 token:that|WDT|O|21|15|ref|20 token:colocalizes|VBZ|O|22|16|acl:relcl|20 token:in|IN|O|23|17|case|25 token:dendritic|JJ|O|24|18|amod|25 token:spines|NNS|O|25|19|nmod:in|22 token:with|IN|O|26|20|case|28 token:NMDA|JJ|O|27|21|amod|28 token:receptors|NNS|O|28|22|nmod:with|22 token:and|CC|O|29|23|cc|28 token:the|DT|O|30|24|det|34 token:putative|JJ|O|31|25|amod|34 token:NMDA|NN|O|32|26|compound|34 token:receptor-clustering|NN|O|33|27|compound|34 token:molecule|NN|O|34|28|conj:and@nmod:with|22@28 token:PSD-95|CD|P|35|29|nummod|34 token:.|.|O|36|30|| dep_token:alpha-Actinin-2|NN|P1|nsubjpass|13 dep_token:member|NN|O|appos|0 dep_token:family|NN|O|nmod:of|3 dep_token:spectrin/dystrophin|NN|P2|compound|7 dep_path_len:3 lex_dep_path:GENE_1|->appos->w:member->nmod:of->compound->|GENE_2 lex_dep_path:GENE_1|->appos->nmod:of->w:famili->compound->|GENE_2	<1>alpha-Actinin-2</1>, a member of the spectrin/<1>dystrophin</1> family of <0>actin</0>-binding proteins, is identified here as a brain postsynaptic density protein that colocalizes in dendritic spines with NMDA receptors and the putative NMDA receptor-clustering molecule <0>PSD-95</0>.
NONE AIMed_d195 3 *EMPTY*-*EMPTY* token:alpha-Actinin-2|NN|P1|0|-9|nsubjpass|13 token:,|,|O|1|-8|| token:a|DT|O|2|-7|det|3 token:member|NN|O|3|-6|appos|0 token:of|IN|O|4|-5|case|7 token:the|DT|O|5|-4|det|7 token:spectrin/dystrophin|NN|P|6|-3|compound|7 token:family|NN|O|7|-2|nmod:of|3 token:of|IN|O|8|-1|case|10 token:actin-binding|JJ|P2|9|0|amod|10 token:proteins|NNS|O|10|1|nmod:of|7 token:,|,|O|11|2|| token:is|VBZ|O|12|3|auxpass|13 token:identified|VBN|O|13|4|root|13 token:here|RB|O|14|5|advmod|13 token:as|IN|O|15|6|case|20 token:a|DT|O|16|7|det|20 token:brain|NN|O|17|8|compound|20 token:postsynaptic|JJ|O|18|9|amod|20 token:density|NN|O|19|10|compound|20 token:protein|NN|O|20|11|nmod:as@nsubj|13@22 token:that|WDT|O|21|12|ref|20 token:colocalizes|VBZ|O|22|13|acl:relcl|20 token:in|IN|O|23|14|case|25 token:dendritic|JJ|O|24|15|amod|25 token:spines|NNS|O|25|16|nmod:in|22 token:with|IN|O|26|17|case|28 token:NMDA|JJ|O|27|18|amod|28 token:receptors|NNS|O|28|19|nmod:with|22 token:and|CC|O|29|20|cc|28 token:the|DT|O|30|21|det|34 token:putative|JJ|O|31|22|amod|34 token:NMDA|NN|O|32|23|compound|34 token:receptor-clustering|NN|O|33|24|compound|34 token:molecule|NN|O|34|25|conj:and@nmod:with|22@28 token:PSD-95|CD|P|35|26|nummod|34 token:.|.|O|36|27|| dep_token:alpha-Actinin-2|NN|P1|nsubjpass|13 dep_token:member|NN|O|appos|0 dep_token:family|NN|O|nmod:of|3 dep_token:proteins|NNS|O|nmod:of|7 dep_token:actin-binding|JJ|P2|amod|10 dep_path_len:4 lex_dep_path:GENE_1|->appos->w:member->nmod:of->nmod:of->amod->|GENE_2 lex_dep_path:GENE_1|->appos->nmod:of->w:famili->nmod:of->amod->|GENE_2 lex_dep_path:GENE_1|->appos->nmod:of->nmod:of->w:protein->amod->|GENE_2	<1>alpha-Actinin-2</1>, a member of the spectrin/<0>dystrophin</0> family of <1>actin</1>-binding proteins, is identified here as a brain postsynaptic density protein that colocalizes in dendritic spines with NMDA receptors and the putative NMDA receptor-clustering molecule <0>PSD-95</0>.
NONE AIMed_d195 3 *EMPTY*-*EMPTY* token:alpha-Actinin-2|NN|P1|0|-35|nsubjpass|13 token:,|,|O|1|-34|| token:a|DT|O|2|-33|det|3 token:member|NN|O|3|-32|appos|0 token:of|IN|O|4|-31|case|7 token:the|DT|O|5|-30|det|7 token:spectrin/dystrophin|NN|P|6|-29|compound|7 token:family|NN|O|7|-28|nmod:of|3 token:of|IN|O|8|-27|case|10 token:actin-binding|JJ|P|9|-26|amod|10 token:proteins|NNS|O|10|-25|nmod:of|7 token:,|,|O|11|-24|| token:is|VBZ|O|12|-23|auxpass|13 token:identified|VBN|O|13|-22|root|13 token:here|RB|O|14|-21|advmod|13 token:as|IN|O|15|-20|case|20 token:a|DT|O|16|-19|det|20 token:brain|NN|O|17|-18|compound|20 token:postsynaptic|JJ|O|18|-17|amod|20 token:density|NN|O|19|-16|compound|20 token:protein|NN|O|20|-15|nmod:as@nsubj|13@22 token:that|WDT|O|21|-14|ref|20 token:colocalizes|VBZ|O|22|-13|acl:relcl|20 token:in|IN|O|23|-12|case|25 token:dendritic|JJ|O|24|-11|amod|25 token:spines|NNS|O|25|-10|nmod:in|22 token:with|IN|O|26|-9|case|28 token:NMDA|JJ|O|27|-8|amod|28 token:receptors|NNS|O|28|-7|nmod:with|22 token:and|CC|O|29|-6|cc|28 token:the|DT|O|30|-5|det|34 token:putative|JJ|O|31|-4|amod|34 token:NMDA|NN|O|32|-3|compound|34 token:receptor-clustering|NN|O|33|-2|compound|34 token:molecule|NN|O|34|-1|conj:and@nmod:with|22@28 token:PSD-95|CD|P2|35|0|nummod|34 token:.|.|O|36|1|| dep_token:alpha-Actinin-2|NN|P1|nsubjpass|13 dep_token:identified|VBN|O|root|13 dep_token:protein|NN|O|nmod:as@nsubj|13@22 dep_token:colocalizes|VBZ|O|acl:relcl|20 dep_token:molecule|NN|O|conj:and@nmod:with|22@28 dep_token:PSD-95|CD|P2|nummod|34 dep_path_len:5 lex_dep_path:GENE_1|<-nsubjpass<-w:identifi->nmod:as->acl:relcl->nmod:with->nummod->|GENE_2 lex_dep_path:GENE_1|<-nsubjpass<-__->nmod:as->w:protein->acl:relcl->nmod:with->nummod->|GENE_2 lex_dep_path:GENE_1|<-nsubjpass<-__->nmod:as->acl:relcl->w:coloc->nmod:with->nummod->|GENE_2 lex_dep_path:GENE_1|<-nsubjpass<-__->nmod:as->acl:relcl->nmod:with->w:molecul->nummod->|GENE_2	<1>alpha-Actinin-2</1>, a member of the spectrin/<0>dystrophin</0> family of <0>actin</0>-binding proteins, is identified here as a brain postsynaptic density protein that colocalizes in dendritic spines with NMDA receptors and the putative NMDA receptor-clustering molecule <1>PSD-95</1>.
NONE AIMed_d195 3 *EMPTY*-*EMPTY* token:alpha-Actinin-2|NN|P|-6|-9|nsubjpass|13 token:,|,|O|-5|-8|| token:a|DT|O|-4|-7|det|3 token:member|NN|O|-3|-6|appos|0 token:of|IN|O|-2|-5|case|7 token:the|DT|O|-1|-4|det|7 token:spectrin/dystrophin|NN|P1|0|-3|compound|7 token:family|NN|O|1|-2|nmod:of|3 token:of|IN|O|2|-1|case|10 token:actin-binding|JJ|P2|3|0|amod|10 token:proteins|NNS|O|4|1|nmod:of|7 token:,|,|O|5|2|| token:is|VBZ|O|6|3|auxpass|13 token:identified|VBN|O|7|4|root|13 token:here|RB|O|8|5|advmod|13 token:as|IN|O|9|6|case|20 token:a|DT|O|10|7|det|20 token:brain|NN|O|11|8|compound|20 token:postsynaptic|JJ|O|12|9|amod|20 token:density|NN|O|13|10|compound|20 token:protein|NN|O|14|11|nmod:as@nsubj|13@22 token:that|WDT|O|15|12|ref|20 token:colocalizes|VBZ|O|16|13|acl:relcl|20 token:in|IN|O|17|14|case|25 token:dendritic|JJ|O|18|15|amod|25 token:spines|NNS|O|19|16|nmod:in|22 token:with|IN|O|20|17|case|28 token:NMDA|JJ|O|21|18|amod|28 token:receptors|NNS|O|22|19|nmod:with|22 token:and|CC|O|23|20|cc|28 token:the|DT|O|24|21|det|34 token:putative|JJ|O|25|22|amod|34 token:NMDA|NN|O|26|23|compound|34 token:receptor-clustering|NN|O|27|24|compound|34 token:molecule|NN|O|28|25|conj:and@nmod:with|22@28 token:PSD-95|CD|P|29|26|nummod|34 token:.|.|O|30|27|| dep_token:spectrin/dystrophin|NN|P1|compound|7 dep_token:family|NN|O|nmod:of|3 dep_token:proteins|NNS|O|nmod:of|7 dep_token:actin-binding|JJ|P2|amod|10 dep_path_len:3 lex_dep_path:GENE_1|<-compound<-w:famili->nmod:of->amod->|GENE_2 lex_dep_path:GENE_1|<-compound<-__->nmod:of->w:protein->amod->|GENE_2	<0>alpha-Actinin-2</0>, a member of the spectrin/<1>dystrophin</1> family of <1>actin</1>-binding proteins, is identified here as a brain postsynaptic density protein that colocalizes in dendritic spines with NMDA receptors and the putative NMDA receptor-clustering molecule <0>PSD-95</0>.
NONE AIMed_d195 3 *EMPTY*-*EMPTY* token:alpha-Actinin-2|NN|P|-6|-35|nsubjpass|13 token:,|,|O|-5|-34|| token:a|DT|O|-4|-33|det|3 token:member|NN|O|-3|-32|appos|0 token:of|IN|O|-2|-31|case|7 token:the|DT|O|-1|-30|det|7 token:spectrin/dystrophin|NN|P1|0|-29|compound|7 token:family|NN|O|1|-28|nmod:of|3 token:of|IN|O|2|-27|case|10 token:actin-binding|JJ|P|3|-26|amod|10 token:proteins|NNS|O|4|-25|nmod:of|7 token:,|,|O|5|-24|| token:is|VBZ|O|6|-23|auxpass|13 token:identified|VBN|O|7|-22|root|13 token:here|RB|O|8|-21|advmod|13 token:as|IN|O|9|-20|case|20 token:a|DT|O|10|-19|det|20 token:brain|NN|O|11|-18|compound|20 token:postsynaptic|JJ|O|12|-17|amod|20 token:density|NN|O|13|-16|compound|20 token:protein|NN|O|14|-15|nmod:as@nsubj|13@22 token:that|WDT|O|15|-14|ref|20 token:colocalizes|VBZ|O|16|-13|acl:relcl|20 token:in|IN|O|17|-12|case|25 token:dendritic|JJ|O|18|-11|amod|25 token:spines|NNS|O|19|-10|nmod:in|22 token:with|IN|O|20|-9|case|28 token:NMDA|JJ|O|21|-8|amod|28 token:receptors|NNS|O|22|-7|nmod:with|22 token:and|CC|O|23|-6|cc|28 token:the|DT|O|24|-5|det|34 token:putative|JJ|O|25|-4|amod|34 token:NMDA|NN|O|26|-3|compound|34 token:receptor-clustering|NN|O|27|-2|compound|34 token:molecule|NN|O|28|-1|conj:and@nmod:with|22@28 token:PSD-95|CD|P2|29|0|nummod|34 token:.|.|O|30|1|| dep_token:spectrin/dystrophin|NN|P1|compound|7 dep_token:family|NN|O|nmod:of|3 dep_token:member|NN|O|appos|0 dep_token:alpha-Actinin-2|NN|P|nsubjpass|13 dep_token:identified|VBN|O|root|13 dep_token:protein|NN|O|nmod:as@nsubj|13@22 dep_token:colocalizes|VBZ|O|acl:relcl|20 dep_token:molecule|NN|O|conj:and@nmod:with|22@28 dep_token:PSD-95|CD|P2|nummod|34 dep_path_len:8 lex_dep_path:GENE_1|<-compound<-w:famili<-nmod:of<-appos<-nsubjpass<-__->nmod:as->acl:relcl->nmod:with->nummod->|GENE_2 lex_dep_path:GENE_1|<-compound<-nmod:of<-w:member<-appos<-nsubjpass<-__->nmod:as->acl:relcl->nmod:with->nummod->|GENE_2 lex_dep_path:GENE_1|<-compound<-nmod:of<-appos<-w:alpha-actinin-2<-nsubjpass<-__->nmod:as->acl:relcl->nmod:with->nummod->|GENE_2 lex_dep_path:GENE_1|<-compound<-nmod:of<-appos<-nsubjpass<-w:identifi->nmod:as->acl:relcl->nmod:with->nummod->|GENE_2 lex_dep_path:GENE_1|<-compound<-nmod:of<-appos<-nsubjpass<-__->nmod:as->w:protein->acl:relcl->nmod:with->nummod->|GENE_2 lex_dep_path:GENE_1|<-compound<-nmod:of<-appos<-nsubjpass<-__->nmod:as->acl:relcl->w:coloc->nmod:with->nummod->|GENE_2 lex_dep_path:GENE_1|<-compound<-nmod:of<-appos<-nsubjpass<-__->nmod:as->acl:relcl->nmod:with->w:molecul->nummod->|GENE_2	<0>alpha-Actinin-2</0>, a member of the spectrin/<1>dystrophin</1> family of <0>actin</0>-binding proteins, is identified here as a brain postsynaptic density protein that colocalizes in dendritic spines with NMDA receptors and the putative NMDA receptor-clustering molecule <1>PSD-95</1>.
NONE AIMed_d195 3 *EMPTY*-*EMPTY* token:alpha-Actinin-2|NN|P|-9|-35|nsubjpass|13 token:,|,|O|-8|-34|| token:a|DT|O|-7|-33|det|3 token:member|NN|O|-6|-32|appos|0 token:of|IN|O|-5|-31|case|7 token:the|DT|O|-4|-30|det|7 token:spectrin/dystrophin|NN|P|-3|-29|compound|7 token:family|NN|O|-2|-28|nmod:of|3 token:of|IN|O|-1|-27|case|10 token:actin-binding|JJ|P1|0|-26|amod|10 token:proteins|NNS|O|1|-25|nmod:of|7 token:,|,|O|2|-24|| token:is|VBZ|O|3|-23|auxpass|13 token:identified|VBN|O|4|-22|root|13 token:here|RB|O|5|-21|advmod|13 token:as|IN|O|6|-20|case|20 token:a|DT|O|7|-19|det|20 token:brain|NN|O|8|-18|compound|20 token:postsynaptic|JJ|O|9|-17|amod|20 token:density|NN|O|10|-16|compound|20 token:protein|NN|O|11|-15|nmod:as@nsubj|13@22 token:that|WDT|O|12|-14|ref|20 token:colocalizes|VBZ|O|13|-13|acl:relcl|20 token:in|IN|O|14|-12|case|25 token:dendritic|JJ|O|15|-11|amod|25 token:spines|NNS|O|16|-10|nmod:in|22 token:with|IN|O|17|-9|case|28 token:NMDA|JJ|O|18|-8|amod|28 token:receptors|NNS|O|19|-7|nmod:with|22 token:and|CC|O|20|-6|cc|28 token:the|DT|O|21|-5|det|34 token:putative|JJ|O|22|-4|amod|34 token:NMDA|NN|O|23|-3|compound|34 token:receptor-clustering|NN|O|24|-2|compound|34 token:molecule|NN|O|25|-1|conj:and@nmod:with|22@28 token:PSD-95|CD|P2|26|0|nummod|34 token:.|.|O|27|1|| dep_token:actin-binding|JJ|P1|amod|10 dep_token:proteins|NNS|O|nmod:of|7 dep_token:family|NN|O|nmod:of|3 dep_token:member|NN|O|appos|0 dep_token:alpha-Actinin-2|NN|P|nsubjpass|13 dep_token:identified|VBN|O|root|13 dep_token:protein|NN|O|nmod:as@nsubj|13@22 dep_token:colocalizes|VBZ|O|acl:relcl|20 dep_token:molecule|NN|O|conj:and@nmod:with|22@28 dep_token:PSD-95|CD|P2|nummod|34 dep_path_len:9 lex_dep_path:GENE_1|<-amod<-w:protein<-nmod:of<-nmod:of<-appos<-nsubjpass<-__->nmod:as->acl:relcl->nmod:with->nummod->|GENE_2 lex_dep_path:GENE_1|<-amod<-nmod:of<-w:famili<-nmod:of<-appos<-nsubjpass<-__->nmod:as->acl:relcl->nmod:with->nummod->|GENE_2 lex_dep_path:GENE_1|<-amod<-nmod:of<-nmod:of<-w:member<-appos<-nsubjpass<-__->nmod:as->acl:relcl->nmod:with->nummod->|GENE_2 lex_dep_path:GENE_1|<-amod<-nmod:of<-nmod:of<-appos<-w:alpha-actinin-2<-nsubjpass<-__->nmod:as->acl:relcl->nmod:with->nummod->|GENE_2 lex_dep_path:GENE_1|<-amod<-nmod:of<-nmod:of<-appos<-nsubjpass<-w:identifi->nmod:as->acl:relcl->nmod:with->nummod->|GENE_2 lex_dep_path:GENE_1|<-amod<-nmod:of<-nmod:of<-appos<-nsubjpass<-__->nmod:as->w:protein->acl:relcl->nmod:with->nummod->|GENE_2 lex_dep_path:GENE_1|<-amod<-nmod:of<-nmod:of<-appos<-nsubjpass<-__->nmod:as->acl:relcl->w:coloc->nmod:with->nummod->|GENE_2 lex_dep_path:GENE_1|<-amod<-nmod:of<-nmod:of<-appos<-nsubjpass<-__->nmod:as->acl:relcl->nmod:with->w:molecul->nummod->|GENE_2	<0>alpha-Actinin-2</0>, a member of the spectrin/<0>dystrophin</0> family of <1>actin</1>-binding proteins, is identified here as a brain postsynaptic density protein that colocalizes in dendritic spines with NMDA receptors and the putative NMDA receptor-clustering molecule <1>PSD-95</1>.
NONE AIMed_d195 4 *EMPTY*-*EMPTY* token:alpha-Actinin-2|NN|P1|0|-13|nsubj@nsubjpass|1@25 token:binds|VBZ|O|1|-12|root|1 token:by|IN|O|2|-11|case|6 token:its|PRP$|O|3|-10|nmod:poss|6 token:central|JJ|O|4|-9|amod|6 token:rod|NN|O|5|-8|compound|6 token:domain|NN|O|6|-7|nmod:by|1 token:to|TO|O|7|-6|case|10 token:the|DT|O|8|-5|det|10 token:cytoplasmic|JJ|O|9|-4|amod|10 token:tail|NN|O|10|-3|nmod:to|1 token:of|IN|O|11|-2|case|16 token:both|DT|O|12|-1|cc:preconj|16 token:NR1|NN|P2|13|0|compound|16 token:and|CC|O|14|1|cc|13 token:NR2B|NN|P|15|2|compound@conj:and|13@16 token:subunits|NNS|O|16|3|nmod:of|10 token:of|IN|O|17|4|case|20 token:the|DT|O|18|5|det|20 token:NMDA|JJ|P|19|6|amod|20 token:receptor|NN|P|20|7|nmod:of|16 token:,|,|O|21|8|| token:and|CC|O|22|9|cc|1 token:can|MD|O|23|10|aux|25 token:be|VB|O|24|11|auxpass|25 token:immunoprecipitated|VBN|O|25|12|conj:and|1 token:with|IN|O|26|13|case|28 token:NMDA|JJ|O|27|14|amod|28 token:receptors|NNS|O|28|15|nmod:with|25 token:and|CC|O|29|16|cc|28 token:PSD-95|NN|P|30|17|conj:and@nmod:with|25@28 token:from|IN|O|31|18|case|33 token:rat|NN|O|32|19|compound|33 token:brain|NN|O|33|20|nmod:from|30 token:.|.|O|34|21|| dep_token:alpha-Actinin-2|NN|P1|nsubj@nsubjpass|1@25 dep_token:binds|VBZ|O|root|1 dep_token:tail|NN|O|nmod:to|1 dep_token:subunits|NNS|O|nmod:of|10 dep_token:NR1|NN|P2|compound|16 dep_path_len:4 lex_dep_path:GENE_1|<-nsubj<-w:bind->nmod:to->nmod:of->compound->|GENE_2 lex_dep_path:GENE_1|<-nsubj<-__->nmod:to->w:tail->nmod:of->compound->|GENE_2 lex_dep_path:GENE_1|<-nsubj<-__->nmod:to->nmod:of->w:subunit->compound->|GENE_2	<1>alpha-Actinin-2</1> binds by its central rod domain to the cytoplasmic tail of both <1>NR1</1> and <0>NR2B</0> subunits of the <0>NMDA receptor</0>, and can be immunoprecipitated with NMDA receptors and <0>PSD-95</0> from rat brain.
NONE AIMed_d195 4 *EMPTY*-*EMPTY* token:alpha-Actinin-2|NN|P1|0|-15|nsubj@nsubjpass|1@25 token:binds|VBZ|O|1|-14|root|1 token:by|IN|O|2|-13|case|6 token:its|PRP$|O|3|-12|nmod:poss|6 token:central|JJ|O|4|-11|amod|6 token:rod|NN|O|5|-10|compound|6 token:domain|NN|O|6|-9|nmod:by|1 token:to|TO|O|7|-8|case|10 token:the|DT|O|8|-7|det|10 token:cytoplasmic|JJ|O|9|-6|amod|10 token:tail|NN|O|10|-5|nmod:to|1 token:of|IN|O|11|-4|case|16 token:both|DT|O|12|-3|cc:preconj|16 token:NR1|NN|P|13|-2|compound|16 token:and|CC|O|14|-1|cc|13 token:NR2B|NN|P2|15|0|compound@conj:and|13@16 token:subunits|NNS|O|16|1|nmod:of|10 token:of|IN|O|17|2|case|20 token:the|DT|O|18|3|det|20 token:NMDA|JJ|P|19|4|amod|20 token:receptor|NN|P|20|5|nmod:of|16 token:,|,|O|21|6|| token:and|CC|O|22|7|cc|1 token:can|MD|O|23|8|aux|25 token:be|VB|O|24|9|auxpass|25 token:immunoprecipitated|VBN|O|25|10|conj:and|1 token:with|IN|O|26|11|case|28 token:NMDA|JJ|O|27|12|amod|28 token:receptors|NNS|O|28|13|nmod:with|25 token:and|CC|O|29|14|cc|28 token:PSD-95|NN|P|30|15|conj:and@nmod:with|25@28 token:from|IN|O|31|16|case|33 token:rat|NN|O|32|17|compound|33 token:brain|NN|O|33|18|nmod:from|30 token:.|.|O|34|19|| dep_token:alpha-Actinin-2|NN|P1|nsubj@nsubjpass|1@25 dep_token:binds|VBZ|O|root|1 dep_token:tail|NN|O|nmod:to|1 dep_token:subunits|NNS|O|nmod:of|10 dep_token:NR2B|NN|P2|compound@conj:and|13@16 dep_path_len:4 lex_dep_path:GENE_1|<-nsubj<-w:bind->nmod:to->nmod:of->compound->|GENE_2 lex_dep_path:GENE_1|<-nsubj<-__->nmod:to->w:tail->nmod:of->compound->|GENE_2 lex_dep_path:GENE_1|<-nsubj<-__->nmod:to->nmod:of->w:subunit->compound->|GENE_2	<1>alpha-Actinin-2</1> binds by its central rod domain to the cytoplasmic tail of both <0>NR1</0> and <1>NR2B</1> subunits of the <0>NMDA receptor</0>, and can be immunoprecipitated with NMDA receptors and <0>PSD-95</0> from rat brain.
R_PPI AIMed_d195 4 *EMPTY*-*EMPTY* token:alpha-Actinin-2|NN|P1|0|-19|nsubj@nsubjpass|1@25 token:binds|VBZ|O|1|-18|root|1 token:by|IN|O|2|-17|case|6 token:its|PRP$|O|3|-16|nmod:poss|6 token:central|JJ|O|4|-15|amod|6 token:rod|NN|O|5|-14|compound|6 token:domain|NN|O|6|-13|nmod:by|1 token:to|TO|O|7|-12|case|10 token:the|DT|O|8|-11|det|10 token:cytoplasmic|JJ|O|9|-10|amod|10 token:tail|NN|O|10|-9|nmod:to|1 token:of|IN|O|11|-8|case|16 token:both|DT|O|12|-7|cc:preconj|16 token:NR1|NN|P|13|-6|compound|16 token:and|CC|O|14|-5|cc|13 token:NR2B|NN|P|15|-4|compound@conj:and|13@16 token:subunits|NNS|O|16|-3|nmod:of|10 token:of|IN|O|17|-2|case|20 token:the|DT|O|18|-1|det|20 token:NMDA|JJ|P2|19|0|amod|20 token:receptor|NN|P2|20|0|nmod:of|16 token:,|,|O|21|1|| token:and|CC|O|22|2|cc|1 token:can|MD|O|23|3|aux|25 token:be|VB|O|24|4|auxpass|25 token:immunoprecipitated|VBN|O|25|5|conj:and|1 token:with|IN|O|26|6|case|28 token:NMDA|JJ|O|27|7|amod|28 token:receptors|NNS|O|28|8|nmod:with|25 token:and|CC|O|29|9|cc|28 token:PSD-95|NN|P|30|10|conj:and@nmod:with|25@28 token:from|IN|O|31|11|case|33 token:rat|NN|O|32|12|compound|33 token:brain|NN|O|33|13|nmod:from|30 token:.|.|O|34|14|| dep_token:alpha-Actinin-2|NN|P1|nsubj@nsubjpass|1@25 dep_token:binds|VBZ|O|root|1 dep_token:tail|NN|O|nmod:to|1 dep_token:subunits|NNS|O|nmod:of|10 dep_token:receptor|NN|P2|nmod:of|16 dep_path_len:4 lex_dep_path:GENE_1|<-nsubj<-w:bind->nmod:to->nmod:of->nmod:of->|GENE_2 lex_dep_path:GENE_1|<-nsubj<-__->nmod:to->w:tail->nmod:of->nmod:of->|GENE_2 lex_dep_path:GENE_1|<-nsubj<-__->nmod:to->nmod:of->w:subunit->nmod:of->|GENE_2	<1>alpha-Actinin-2</1> binds by its central rod domain to the cytoplasmic tail of both <0>NR1</0> and <0>NR2B</0> subunits of the <1>NMDA receptor</1>, and can be immunoprecipitated with NMDA receptors and <0>PSD-95</0> from rat brain.
